open,high,low,close,volume,Company,Symbol,20_MA,50_MA,Symbol_encoded
1715.0,1734.9,1703.0,1730.55,369450.0,HDFC Bank,HDFCBANK.BSE,1640.0275000000001,1636.46,1
1682.0,1707.75,1680.75,1704.75,950720.0,HDFC Bank,HDFCBANK.BSE,1644.5,1637.668,1
1697.95,1706.1,1678.8,1683.55,1070000.0,HDFC Bank,HDFCBANK.BSE,1648.3399999999997,1638.3270000000002,1
1698.4,1713.0,1687.0,1696.5,263950.0,HDFC Bank,HDFCBANK.BSE,1652.275,1639.307,1
1709.6,1710.7,1691.1,1699.5,372270.0,HDFC Bank,HDFCBANK.BSE,1656.435,1640.557,1
1672.1,1717.1,1672.0,1710.9,1520000.0,HDFC Bank,HDFCBANK.BSE,1661.7450000000001,1641.87,1
1649.95,1675.75,1645.7,1672.1,1840000.0,HDFC Bank,HDFCBANK.BSE,1664.45,1642.473,1
1673.0,1673.55,1642.9,1665.4,1400000.0,HDFC Bank,HDFCBANK.BSE,1665.6799999999998,1643.025,1
1663.05,1681.2,1651.5,1669.0,987500.0,HDFC Bank,HDFCBANK.BSE,1668.775,1643.8819999999998,1
1611.0,1669.95,1603.9,1658.0,2380000.0,HDFC Bank,HDFCBANK.BSE,1670.95,1644.3829999999998,1
1595.0,1610.65,1589.15,1608.75,765840.0,HDFC Bank,HDFCBANK.BSE,1670.3925,1643.7879999999998,1
1582.05,1599.7,1578.75,1597.45,1960000.0,HDFC Bank,HDFCBANK.BSE,1669.1600000000003,1643.0090000000002,1
1580.0,1586.0,1574.15,1580.9,224630.0,HDFC Bank,HDFCBANK.BSE,1666.9875,1641.886,1
1573.2,1588.0,1566.5,1573.85,348770.0,HDFC Bank,HDFCBANK.BSE,1664.595,1640.5710000000001,1
1557.95,1570.85,1552.0,1564.75,567480.0,HDFC Bank,HDFCBANK.BSE,1661.52,1639.3540000000003,1
1577.95,1580.5,1557.0,1561.5,1250000.0,HDFC Bank,HDFCBANK.BSE,1657.77,1637.9490000000003,1
1560.5,1584.0,1552.6,1573.25,1280000.0,HDFC Bank,HDFCBANK.BSE,1654.6875,1636.8840000000002,1
1565.0,1565.0,1546.85,1559.45,251260.0,HDFC Bank,HDFCBANK.BSE,1650.2549999999999,1635.325,1
1499.95,1559.7,1482.5,1551.3,440480.0,HDFC Bank,HDFCBANK.BSE,1641.4900000000002,1633.72,1
1550.0,1559.7,1452.85,1482.75,985180.0,HDFC Bank,HDFCBANK.BSE,1627.21,1630.728,1
1587.05,1597.0,1555.0,1572.1,2050000.0,HDFC Bank,HDFCBANK.BSE,1619.2875,1630.0119999999997,1
1519.9,1535.0,1514.5,1530.85,1100000.0,HDFC Bank,HDFCBANK.BSE,1610.5925,1628.557,1
